Gene_ID	Ctrl_rep1	Ctrl_rep2	dnBMPR1A_rep1	dnBMPR1A_rep2
ENSGALG00000010246	67	188	184	149
ENSGALG00000047282	0	0	0	0
ENSGALG00000010253	1038	1373	1368	1285
ENSGALG00000029921	3653	2565	2318	2372
ENSGALG00000031340	21	99	96	54
ENSGALG00000034552	7	11	17	22
ENSGALG00000054653	10	17	11	6
ENSGALG00000047936	0	1	0	6
ENSGALG00000010311	27	25	39	15
ENSGALG00000049601	1	0	4	5
ENSGALG00000041094	63	115	61	102
ENSGALG00000010320	56	80	64	67
ENSGALG00000050373	0	1	7	5
ENSGALG00000046717	0	0	0	0
ENSGALG00000010325	1978	2477	2202	2174
ENSGALG00000026490	14343	14599	14602	15686
ENSGALG00000010342	196	292	152	94
ENSGALG00000051132	0	0	0	7
ENSGALG00000010935	5	0	7	8
ENSGALG00000010936	0	5	5	0
ENSGALG00000028091	2	1	2	4
ENSGALG00000010939	335	266	227	400
ENSGALG00000010940	256	319	154	189
ENSGALG00000010958	6	11	27	28
ENSGALG00000028648	5415	4855	4404	4339
ENSGALG00000042269	319	342	197	255
ENSGALG00000052461	0	0	0	0
ENSGALG00000010975	282	175	89	147
ENSGALG00000050280	0	0	0	0
ENSGALG00000053239	0	0	0	0
ENSGALG00000050123	0	0	0	1
ENSGALG00000010992	127	326	355	491
ENSGALG00000027103	1	29	1	9
ENSGALG00000044478	301	210	198	203
ENSGALG00000027213	629	275	262	443
ENSGALG00000047575	0	0	0	1
ENSGALG00000027633	3	43	40	17
ENSGALG00000027192	12	15	13	10
ENSGALG00000028360	1	0	0	0
ENSGALG00000045907	0	0	0	2
ENSGALG00000053372	5	0	2	0
ENSGALG00000045093	583	865	689	585
ENSGALG00000011168	385	572	739	686
ENSGALG00000049176	225	262	184	324
ENSGALG00000051263	15	36	34	24
ENSGALG00000011177	194	466	517	489
ENSGALG00000033106	2714	4126	4419	3892
ENSGALG00000011206	11	18	57	22
ENSGALG00000011207	908	1098	770	994
ENSGALG00000052715	1	2	4	2
ENSGALG00000035493	3325	4079	4563	3831
ENSGALG00000030550	1511	1557	1293	1297
ENSGALG00000051987	1	0	0	3
ENSGALG00000054230	0	2	1	5
ENSGALG00000052465	0	0	0	0
ENSGALG00000048464	0	0	0	0
ENSGALG00000011269	0	0	0	0
ENSGALG00000011270	0	13	18	0
ENSGALG00000011271	1	57	104	9
ENSGALG00000011274	1	53	6	104
ENSGALG00000052564	0	0	0	0
ENSGALG00000047529	1	1	1	0
ENSGALG00000048220	1	0	0	2
ENSGALG00000054813	6	0	0	8
ENSGALG00000052884	1	4	0	3
ENSGALG00000011276	5125	4088	4451	5265
ENSGALG00000011277	16	14	13	9
ENSGALG00000011280	398	524	689	641
ENSGALG00000050074	0	0	0	0
ENSGALG00000049080	0	4	2	0
ENSGALG00000054097	1	0	0	2
ENSGALG00000011285	973	1234	649	989
ENSGALG00000030515	20774	21495	22255	21093
ENSGALG00000011293	4269	4132	4543	4944
ENSGALG00000054172	22	43	36	31
ENSGALG00000050619	10	21	9	7
ENSGALG00000011297	664	791	653	662
ENSGALG00000049110	1	1	1	1
ENSGALG00000011309	15	54	17	24
ENSGALG00000019336	765	1094	871	971
ENSGALG00000011320	67	66	56	36
ENSGALG00000011323	423	619	353	374
ENSGALG00000051437	1	0	0	0
ENSGALG00000011325	4240	4348	4818	4040
ENSGALG00000011327	2182	2082	2364	2401
ENSGALG00000011342	161	388	326	357
ENSGALG00000011357	1551	1687	2049	1895
ENSGALG00000048536	0	4	0	5
ENSGALG00000011377	10317	9025	9568	9469
ENSGALG00000028788	0	2	1	0
ENSGALG00000011400	1948	2516	2995	3105
ENSGALG00000011406	0	1	1	1
ENSGALG00000011409	4576	3848	4679	4932
ENSGALG00000011414	285	307	281	342
ENSGALG00000011421	18	36	11	11
ENSGALG00000033709	13009	16454	14660	11099
ENSGALG00000047244	0	1	0	0
ENSGALG00000043701	2043	3058	2348	2283
ENSGALG00000011456	1226	1149	990	857
ENSGALG00000011459	80	90	56	31
ENSGALG00000047489	0	3	6	8
ENSGALG00000030853	0	5	12	22
ENSGALG00000031699	1715	1923	1799	2100
ENSGALG00000048130	0	0	0	1
ENSGALG00000025410	0	0	1	0
ENSGALG00000025889	0	0	2	0
ENSGALG00000026407	0	0	0	2
ENSGALG00000029125	0	0	2	4
ENSGALG00000026453	0	0	2	1
ENSGALG00000018238	0	0	0	0
ENSGALG00000042203	0	0	0	0
ENSGALG00000019331	1	0	0	0
ENSGALG00000011504	10833	13665	12827	12027
ENSGALG00000011514	13926	15791	15678	17295
ENSGALG00000024964	6	9	3	8
ENSGALG00000026284	200	286	215	244
ENSGALG00000011531	221	232	352	330
ENSGALG00000011549	29	42	61	21
ENSGALG00000011557	206	327	342	291
ENSGALG00000040976	11981	12340	11993	11834
ENSGALG00000011569	644	823	762	1083
ENSGALG00000041122	10	0	0	18
ENSGALG00000011594	3	0	0	0
ENSGALG00000028373	138	277	143	195
